school_name,district,grade_level_category,school_type_or_flag,ospi_school_code,nces_id,level,grade_span,enrollment_total
Washington State School for the Blind,Office of the Governor (Sch for Blind),High,statewide specialty (Phase 3R SKIP),3799,530031802385,High,06-12,50
Okanogan Co Juvenile Detention,Okanogan School District,High,Regular School (CCD),3193,530615002915,High,08-12,5
Okanogan High School,Okanogan School District,High,Regular School (CCD),2246,530615000920,High,09-12,308
Touchstone,Olympia School District,High,Regular School (CCD),5259,530618003386,High,06-12,2
Clallam Co Juvenile Detention,Olympic Educational Service District 114,High,institutional (juvenile detention / youth services),3143,530000702914,High,07-12,0
Kitsap Co Detention Ctr,Olympic Educational Service District 114,High,institutional (juvenile detention / youth services),3481,530000702927,High,08-12,2
Orcas Island High School,Orcas Island School District,High,Regular School (CCD),2750,530630000945,High,09-12,177
Desert Oasis High School,Othello School District,High,Alternative School (CCD),5367,530648003470,High,09-12,117
Open Door Re-Engagement,Othello School District,High,reengagement (by name),5634,530648003724,High,09-12,20
Othello High School,Othello School District,High,Regular School (CCD),3015,530648000957,High,09-12,1338
Palouse High School,Palouse School District,High,Regular School (CCD),2634,530654000152,High,09-12,57
Soar to Success,Pasco School District,High,Alternative School (CCD),5596,530657003675,High,09-12,0
Pateros Alternative School,Pateros School District,Other,Alternative School (CCD),5639,530660003755,Other,PK-12,0
Pateros High School,Pateros School District,High,Regular School (CCD),2397,530660000975,High,07-12,113
Pe Ell School,Pe Ell School District,Other,Regular School (CCD),2858,530666000977,Other,PK-12,284
Trojan Alternative School,Pe Ell School District,High,Alternative School (CCD),1925,530666003100,High,09-12,0
Lincoln High School,Port Angeles School District,High,Alternative School (CCD),4003,530682000995,High,09-12,59
Port Angeles High School,Port Angeles School District,High,Regular School (CCD),2908,530682001002,High,09-12,974
SEAVIEW ACADEMY,Port Angeles School District,Other,Alternative School (CCD),5611,530682003728,Other,KG-12,238
Special Education,Port Angeles School District,Other,Special Education School (CCD),1897,530682003096,Other,PK-12,14
OCEAN,Port Townsend School District,Other,Alternative School (CCD),1798,530684002791,Other,KG-12,144
Prosser High School,Prosser School District,High,Regular School (CCD),2508,530690001012,High,09-12,877
Prosser Opportunity Academy,Prosser School District,High,Alternative School (CCD),5537,530690003664,High,09-12,48
Dropout Prevention and Reengagement Academy,Puget Sound Educational Service District 121,High,regional alt / reengagement (Phase 3R SKIP),5619,530000603748,High,09-12,0
PSD Special Services,Puyallup School District,Other,Special Education School (CCD),3951,530696002995,Other,PK-12,52
Quilcene High And Elementary,Quilcene School District,Other,Regular School (CCD),2474,530699001045,Other,PK-12,207
District Run Home School,Quillayute Valley School District,Other,homeschool partnership,1671,530702002507,Other,KG-12,42
Forks High School,Quillayute Valley School District,High,Regular School (CCD),2349,530702001047,High,09-12,264
Insight School of WA Open Doors Program,Quillayute Valley School District,High,reengagement (by name),5529,530702003665,High,09-12,8
Insight School of Washington,Quillayute Valley School District,Other,Alternative School (CCD),5071,530702003078,Other,KG-12,2841
Quincy Innovation Academy Big Picture,Quincy School District,High,Regular School (CCD),5650,530708003738,High,06-12,24
Rainier Valley Leadership Academy,Rainier Valley Leadership Academy,Other,charter,5468,530034203602,Other,06-12,121
Griffin Home,Renton School District,High,Special Education School (CCD),1534,530723002343,High,06-12,0
H.O.M.E. Program,Renton School District,Other,Alternative School (CCD),1784,530723002721,Other,KG-12,136
